freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,Emitter_ID
9608.753652142885,3535.564666689493,36.88654228114566,8.565973668099225,-63.67994781137497,1167269.2965096673,1
9547.557636209005,3602.4193040956256,36.92623415623977,8.644889373320618,-61.107641237554596,1170804.861176357,1
9613.109847206244,3519.493049998079,37.53724259780736,6.2771779930235345,-61.94647935347455,1174407.2804804526,1
9516.434174582791,3459.45600539919,39.331986722792095,8.096555178444076,-62.880092604047356,1177926.7735304506,1
9602.578564619951,3679.9787998252427,35.36223539064409,6.328628268537131,-61.48464411794166,1181386.2295358498,1
9528.320220021209,3529.602394312338,36.69973291037785,4.978271650456321,-62.03377644095596,1185066.208335675,1
9618.178847923818,3429.1679860033923,37.602472639536494,8.717848860877737,-63.10647115303186,1188595.8107299875,1
9541.482751879144,3519.3443825904237,36.018142784694035,6.8054307520058535,-61.68928311510801,1192024.978715991,1
11166.720213272352,2699.2393556518196,20.12178456425117,14.711570148236525,-68.46501415255194,388122.53620032954,2
11178.728588606551,2900.844557892965,20.577332850880037,19.643448091126817,-69.46503081081782,390821.7755559814,2
11173.93383125094,2771.8751038044766,19.935515981571562,17.45462440934291,-68.22154783627225,393722.6201138743,2
11175.682976908118,2857.749934989673,19.150280475078162,20.11508785634721,-66.86169097751599,396494.4952176788,2
11197.258397984755,2747.341996865107,21.121635517633056,14.179679729987612,-70.34829580330495,399352.24515266845,2
11185.58395279516,2819.8553918561956,20.571879769536253,17.64999191559507,-69.90789924045292,402099.58714953356,2
11161.499253684935,2747.2285394777273,20.620186371843182,20.343436409119374,-68.49557417525409,404919.4425413897,2
11181.537177372657,2890.0551230449714,21.375424335225794,20.510581531740907,-67.63620386975832,407666.67108086747,2
11439.66137881427,4952.730622692845,13.369881850355785,248.04572169249658,-34.49450783169293,1971688.9002210204,3
11554.97351857194,5019.545964383724,15.812957446313588,245.76639508822478,-34.96235095398971,1976641.6308437132,3
11462.279615846017,5195.076666908109,14.17370805023684,242.79235549483388,-32.85188137242286,1981661.176808097,3
11403.807335655953,4908.047683799934,14.118000568599799,246.36018273522978,-33.195227408077194,1986856.253475005,3
11440.465340569066,4971.199730355826,15.445793154385603,247.28298401053394,-33.1494535780511,1991764.301158805,3
11544.89860045005,5014.632743862785,15.026968218700134,247.00799799117803,-34.627707094815975,1996735.5008891607,3
9907.893143238742,4987.95937189175,21.749504255029912,62.17020506333165,-48.953163343130264,1087420.5267220663,4
9909.606977375613,4902.802706978445,20.77603039737441,61.80141300666199,-47.18784559283698,1092408.4860939581,4
9906.335562745922,5046.568738390425,19.058977285945943,61.00009241133334,-46.674199310946356,1097311.2888009367,4
9884.365997354462,4870.732111003675,23.72051280141354,63.09020542576522,-46.43471226020208,1102357.8575393271,4
9889.564590015076,5011.465426644682,20.79920133133286,64.22432243365182,-46.577317616384164,1107228.5896503308,4
9901.237285905836,4990.363827043051,20.009999007494535,63.75336789628472,-46.61409490432855,1112240.0550769756,4
9900.987588750566,4847.003973328031,20.715407491086122,65.8260318236067,-46.197284389276206,1117230.4189040186,4
9913.990032937816,5094.32093455425,21.238237233939188,64.05744799487535,-49.097088603529386,1122077.4228773466,4
10773.317084267239,2632.165129584805,20.447516008559283,235.48510872078967,-47.51190463455491,199288.5431036864,5
10747.391125558579,2156.126327497148,20.471274233671544,234.921874271396,-46.75287608550725,201920.7082332712,5
10743.608279613785,2936.2850535671064,20.716630022466678,232.32165792640612,-48.45507170552864,204076.83456076836,5
10730.228589879234,2601.3687167266203,19.16541112358469,234.93120053444218,-47.767109273149444,207013.11961433548,5
10743.766284459736,2203.454253354074,22.0488453819202,234.44361299911145,-47.41735731759779,209614.4883310621,5
10742.01857265088,2928.262746202308,20.857801463980707,236.8356178894444,-48.53151725225163,211817.9425844162,5
10748.514335134301,2515.327466390395,20.12712840467388,236.13214549423483,-49.34934239761997,214746.20533061848,5
10724.358049126544,2094.559305857264,19.96146119953206,234.2599121143445,-47.9223903715859,217261.53279700887,5
10751.393683082775,4203.406727839431,44.76851073497622,263.36872343248757,-37.15849963302895,253163.91437002883,6
10754.2500735097,4244.727188059217,44.034906372479746,262.1019083854428,-39.139505221454755,257367.32109786826,6
10725.877192673695,4155.012882584414,47.066807496298814,261.9642867531844,-38.92400827762292,261612.04828592748,6
